Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
flat/25M_rectangle,0.30953467773894466,0.2716326103856166,0.38561730906367303,6.2424043398740116e-2,3.53714786278074e-3,8.000213456511278e-2
flat/25M_circle,0.34098614901304247,0.312439064309001,0.3939471930265427,4.977192597524613e-2,1.4981788477573366e-2,6.836663654782625e-2
flat/25M_quadratic,2.3877190615360937,2.3484916649758816,2.4161140738675995,4.183807617037248e-2,2.427929943374839e-2,5.8758452439471885e-2
split/25M_rectangle,0.2605278009797136,0.2466505373517672,0.2845682094991207,2.27172169706221e-2,6.84860096030172e-3,3.167561625391226e-2
split/25M_circle,0.2866890222579241,0.2719159704446793,0.30836242556571963,2.2168716218572526e-2,9.540283666548565e-3,2.975612742547803e-2
split/25M_quadratic,2.3639427282226584,2.336297932857027,2.395053379237652,3.5514922733103714e-2,1.3057359494268894e-2,4.8765580146314325e-2
rec-2/25M_rectangle,0.2076841895778974,0.20001071074770557,0.21911570264233482,1.3274708180541555e-2,6.818591754652783e-3,1.9310722261576017e-2
rec-2/25M_circle,0.2214702364885145,0.21425708062532875,0.23161327263547316,1.1195957976685347e-2,7.889741460730217e-3,1.346486003892744e-2
rec-2/25M_quadratic,2.153431333058203,2.129996401257813,2.190805450314656,3.544850960454055e-2,3.5212929600596313e-3,4.491655979750487e-2
rec-5/25M_rectangle,0.20982440178179076,0.2013785872194502,0.2313163373619318,1.816954803263675e-2,4.737368660147123e-3,2.567507691787423e-2
rec-5/25M_circle,0.2262740896704296,0.21316052542792427,0.25423033125698563,2.3938158714358664e-2,7.306349932786414e-3,3.3739919994120904e-2
rec-5/25M_quadratic,1.9881358206427346,1.9523259509975712,2.013964127516374,3.4587566383998736e-2,1.6814454769094822e-2,4.31675616774924e-2
