Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
flat/25M_rectangle,0.2914611754566431,0.27177612751722335,0.3138464701920748,2.751588734619353e-2,1.1189935279872748e-2,3.665176080636751e-2
flat/25M_circle,0.32101906125744184,0.30039011674622695,0.3558190694451332,3.600974474185769e-2,8.844327433057964e-3,4.777845831356238e-2
flat/25M_quadratic,2.3572287077549845,2.349289915058762,2.361894206609577,7.880120593059951e-3,2.8991945241543127e-3,1.0774508078411349e-2
split/25M_rectangle,0.2654217054446538,0.24347461486856142,0.2954197019338608,3.452881386015084e-2,1.7585198660203413e-2,4.471444685550671e-2
split/25M_circle,0.28314672436565164,0.27660619996488095,0.28871944032609465,7.886372528273743e-3,5.574172480090183e-3,9.890712293097223e-3
split/25M_quadratic,2.3282906050638608,2.2748723758850247,2.360601523580651,5.1393378574566946e-2,9.584042864541287e-3,6.721540771983597e-2
rec-2/25M_rectangle,0.2020557118890186,0.19299155208799576,0.21300403910378615,1.3954380590306013e-2,9.610262246692959e-3,1.6945674818957684e-2
rec-2/25M_circle,0.23184789654074445,0.21801738384076289,0.2588001077270342,2.5227730883895468e-2,1.0482672694655406e-2,3.4573157055808275e-2
rec-2/25M_quadratic,2.173184293167045,2.1574912946671247,2.197956257034093,2.3715790331990873e-2,4.676629248327936e-3,3.1149942553756287e-2
rec-5/25M_rectangle,0.21237706687922278,0.20359333542486033,0.2186052468087938,9.461025548665005e-3,5.344628090212852e-3,1.3401172298315087e-2
rec-5/25M_circle,0.22110743494704366,0.21093359620620808,0.23196942592039704,1.4650484537348846e-2,1.0385398036662446e-2,1.9592126533629486e-2
rec-5/25M_quadratic,2.0344877128178873,1.994878119478623,2.055977377730111,3.7773878485723715e-2,1.1244174713889832e-2,4.962825528746911e-2
